In Order of PValue (Interesting Regressions Highlighted):
Index, Chart, Subset, N=, Slope, p-value, R^2, Y-intercept, X-mean, Y-mean, SD, CC
4157, LnTps1 / LnCac1 vs. LnDTps, Beta, 40, 0.7186, 0.5785, 0.2485, 0.2799, 0.5018, 0.6405, 0.0599, 0.4985
4158, DCac / DPav vs. Tcpv1, Omega, 100, 0.0164, 0.5785, 0.2407, 14.4097, 506.0432, 22.7010, 127.9905, 0.4906
4159, LnCac0 / LnNcpv1 vs. LnPav1, Zeta, 12, 0.0367, 0.5785, 0.2835, 0.0354, 0.6056, 0.0576, 0.1525, 0.5324
4160, DCac / Tps1 vs. Tcpv1, BetaUZeta, 52, 4.7559, 0.5787, 0.2453, 29.4644, 2.8938, 43.2269, 0.7457, 0.4952
4161, LnTps1 / LnCac0 vs. LnTcpv0, Omega, 100, 2.9933, 0.5787, 0.2405, 0.8225, 0.1919, 1.3968, 0.0286, 0.4905
4162, LnCac0 / LnPav1 vs. LnDTps, Theta, 23, -0.0041, 0.5788, 0.2583, 0.9160, 60.0987, 0.6704, 13.8218, -0.5083
4163, LnDPav / LnPav1 vs. LnPav0, Omega, 100, -0.0759, 0.5788, 0.2404, 0.0599, 0.3814, 0.0310, 0.0232, -0.4903
4164, DCac / Pav1 vs. DPav, Theta, 23, -0.0000, 0.5790, 0.2581, 0.0199, 105.9746, 0.0151, 29.0510, -0.5081
4165, LnTcpv0 / LnPav1 vs. LnNcpv0, Theta, 23, -0.0129, 0.5790, 0.2581, 4.9356, 47.8687, 4.3184, 7.8356, -0.5081
4166, Tcpv1 / Pav0 vs. DNcpv, Zeta, 12, 0.0198, 0.5790, 0.2829, 13.0706, 516.5147, 23.3083, 166.8450, 0.5319
4167, LnCac0 vs. LnDNcpv, Omega, 100, 0.2419, 0.5791, 0.2402, 2.5787, 1.7051, 2.9912, 0.2223, 0.4901
4168, LnDNcpv / LnTps1 vs. LnDTcpv, Zeta, 12, 0.3457, 0.5791, 0.2828, 0.3782, 1.7542, 0.9847, 0.4759, 0.5318
4169, LnDPav / LnCac0 vs. LnNcpv0, Beta, 40, 137.3765, 0.5791, 0.2478, 4.0664, 0.0039, 4.6083, 0.0005, 0.4978
4170, LnDPav / LnPav1 vs. LnCac1, Alpha, 88, -4.6115, 0.5792, 0.2408, 3.5313, 0.3935, 1.7167, 0.0252, -0.4907
4171, LnTps0 / LnNcpv1 vs. DCac, Zeta, 12, 64.6841, 0.5792, 0.2827, -10.8067, 0.2147, 3.0833, 0.0490, 0.5317
4172, LnDPav / LnCac0 vs. LnNcpv1, Theta, 23, 105.1147, 0.5792, 0.2579, 4.3578, 0.0034, 4.7201, 0.0008, 0.5078
4173, LnTps0 / LnCac1 vs. LnNcpv1, BetaUZeta, 52, 2.3492, 0.5793, 0.2447, 4.2488, 0.2687, 4.8800, 0.0233, 0.4947
4174, LnDTps / LnPav0 vs. LnTps1, Zeta, 12, -0.0124, 0.5794, 0.2826, 1.2856, 28.7374, 0.9286, 10.2293, -0.5316
4175, DPav / Ncpv1 vs. Ncpv0, Theta, 23, -393572.4292, 0.5794, 0.2577, 153.3518, 0.0001, 103.1130, 0.0000, -0.5076
4176, DCac / Ncpv0 vs. Cac1, BetaUZeta, 52, 316.7035, 0.5795, 0.2445, 73.1205, 0.1261, 113.0577, 0.0323, 0.4945
4177, Tps0 vs. DPav, Beta, 40, 0.0022, 0.5795, 0.2474, 0.0111, 3.3500, 0.0185, 0.4666, 0.4974
4178, Ncpv0 vs. DTps, Alpha, 88, 0.0057, 0.5795, 0.2404, 0.1815, 73.5830, 0.6023, 9.8104, 0.4903
4179, LnTps0 / LnNcpv1 vs. LnTcpv1, Zeta, 12, 6.5677, 0.5797, 0.2822, 0.7477, 0.2147, 2.1580, 0.0490, 0.5313
4180, LnDCac / LnTps0 vs. LnDNcpv, Eta, 17, -0.7615, 0.5797, 0.2664, 5.5563, 2.1543, 3.9158, 0.1528, -0.5162
4181, Tps0 / Tps1 vs. LnDCac, BetaUZeta, 52, 1.7463, 0.5797, 0.2442, 0.9504, 0.6400, 2.0681, 0.0532, 0.4942
4182, Tps0 / Pav1 vs. Tps1, Alpha, 88, 0.0396, 0.5798, 0.2402, 1.2263, 23.2684, 2.1477, 4.1299, 0.4901
4183, Ncpv1 / Pav1 vs. LnDTcpv, Zeta, 12, -0.0007, 0.5800, 0.2819, 2.4165, 2107.8225, 0.9847, 241.8016, -0.5309
4184, LnDTps vs. LnDTcpv, Alpha, 88, 1.0932, 0.5800, 0.2399, 0.5460, 0.3305, 0.9073, 0.0521, 0.4898
4185, LnDTcpv vs. LnDTps, Alpha, 88, 0.2195, 0.5800, 0.2399, 0.1314, 0.9073, 0.3305, 0.1162, 0.4898
4186, DTps / DTcpv vs. DPav, Gamma, 48, 0.0019, 0.5801, 0.2447, 0.0059, 0.4167, 0.0066, 0.2946, 0.4946
4187, LnDTps / LnDTcpv vs. DPav, Gamma, 48, 0.0026, 0.5801, 0.2447, 0.0059, 0.3030, 0.0066, 0.2142, 0.4946
4188, Tcpv0 / Pav0 vs. LnDTcpv, Beta, 40, 0.0012, 0.5802, 0.2468, 1.1499, 534.9620, 1.7793, 69.7490, 0.4968
4189, Tps1 / Pav1 vs. LnDTcpv, Zeta, 12, 0.0194, 0.5802, 0.2817, 0.3406, 33.1235, 0.9847, 8.4435, 0.5307
4190, LnNcpv1 / LnPav0 vs. LnTps1, Omega, 100, -0.0007, 0.5802, 0.2391, 1.0944, 479.0043, 0.7777, 62.4702, -0.4889
4191, LnTps0 / LnNcpv1 vs. LnPav1, Theta, 23, 0.1277, 0.5803, 0.2568, 0.0273, 0.1843, 0.0509, 0.0262, 0.5067
4192, Cac1 / Tcpv1 vs. Pav0, Zeta, 12, 0.0041, 0.5803, 0.2815, 0.0409, 2.3775, 0.0506, 1.4408, 0.5306
4193, LnNcpv0 / LnPav0 vs. LnDCac, Omega, 100, -0.0018, 0.5803, 0.2390, 1.7142, 353.6064, 1.0754, 38.5152, -0.4889
4194, DTps / Cac1 vs. LnDTps, Theta, 23, 0.3447, 0.5804, 0.2567, 0.5409, 0.3758, 0.6704, 0.1633, 0.5067
4195, LnNcpv1 / LnPav0 vs. LnTcpv1, Alpha, 88, -0.0013, 0.5804, 0.2396, 2.2235, 520.0917, 1.5431, 69.6552, -0.4895
4196, LnTcpv1 / LnPav0 vs. DPav, Eta, 17, -0.0002, 0.5804, 0.2657, 0.0379, 66.8466, 0.0231, 7.6578, -0.5155
4197, Cac0 / Ncpv1 vs. Pav0, BetaUZeta, 52, 0.0301, 0.5806, 0.2434, 0.0391, 0.5392, 0.0553, 0.0916, 0.4934
4198, LnNcpv1 / LnTcpv1 vs. LnCac0, Theta, 23, -0.2269, 0.5806, 0.2564, 3.1556, 3.5590, 2.3480, 0.8689, -0.5064
4199, LnTcpv0 / LnTcpv1 vs. DTcpv, Omega, 100, 8.1554, 0.5807, 0.2387, 0.2069, 0.4660, 4.0070, 0.0448, 0.4885
4200, LnPav0 / LnPav1 vs. LnCac1, Beta, 40, 5.5613, 0.5807, 0.2463, -0.3063, 0.7342, 3.7768, 0.0245, 0.4963
4201, LnDNcpv / LnTps0 vs. LnDCac, Omega, 100, 0.4078, 0.5807, 0.2386, 0.5156, 1.3729, 1.0754, 0.1705, 0.4885
4202, LnPav0 / LnPav1 vs. LnTcpv0, Alpha, 88, 3.4191, 0.5807, 0.2393, -0.7427, 0.6022, 1.3164, 0.0260, 0.4891
4203, LnCac1 / LnTcpv1 vs. LnPav1, Eta, 17, -0.4082, 0.5808, 0.2653, 0.6043, 1.2367, 0.0996, 0.0150, -0.5151
4204, DCac / Cac0 vs. Pav1, Eta, 17, -0.0940, 0.5808, 0.2653, 0.1380, 0.3414, 0.1059, 0.0726, -0.5150
4205, LnDNcpv / LnTps0 vs. LnTps1, Eta, 17, -0.4630, 0.5808, 0.2652, 2.9795, 2.3650, 1.8844, 0.1341, -0.5150
4206, DCac / Pav1 vs. Pav0, Alpha, 88, 0.0001, 0.5808, 0.2392, 0.0203, 109.3530, 0.0296, 22.9771, 0.4890
4207, LnDTcpv / LnCac1 vs. LnDPav, Theta, 23, 0.0080, 0.5809, 0.2562, 0.0101, 0.6074, 0.0150, 0.1572, 0.5062
4208, LnTps0 / LnCac0 vs. LnDTcpv, Omega, 100, 2.2922, 0.5809, 0.2385, 0.5369, 0.1657, 0.9166, 0.0230, 0.4883
4209, LnDTps / LnDNcpv vs. DPav, Zeta, 12, -0.0476, 0.5809, 0.2809, 0.0205, 0.2348, 0.0093, 0.0463, -0.5300
4210, LnNcpv0 / LnPav0 vs. LnPav1, Gamma, 48, -0.0000, 0.5809, 0.2439, 0.0214, 579.0813, 0.0135, 64.2555, -0.4939
4211, LnDTps / LnPav0 vs. LnTcpv0, Zeta, 12, -0.0314, 0.5809, 0.2809, 2.8894, 28.7374, 1.9864, 10.2293, -0.5300
4212, DTcpv / Tps0 vs. LnDPav, Zeta, 12, -0.0032, 0.5809, 0.2809, 0.0166, 0.8840, 0.0137, 0.4223, -0.5300
4213, DCac / Ncpv0 vs. Cac0, Omega, 100, 277.5923, 0.5809, 0.2384, 32.0773, 0.0656, 50.2800, 0.0178, 0.4883
4214, LnCac0 / LnPav0 vs. LnCac1, Theta, 23, 0.0094, 0.5810, 0.2561, 2.0349, 78.2524, 2.7681, 17.3247, 0.5061
4215, LnDNcpv / LnTps0 vs. LnPav1, Alpha, 88, 0.0130, 0.5810, 0.2390, 0.0241, 1.2192, 0.0399, 0.1742, 0.4889
4216, LnDCac / LnTps1 vs. DTps, Eta, 17, -1.2652, 0.5810, 0.2651, 3.6799, 1.9788, 1.1765, 0.1618, -0.5149
4217, DCac / Ncpv1 vs. Tcpv1, Zeta, 12, 233.3921, 0.5810, 0.2808, 34.8932, 0.0005, 35.0167, 0.0351, 0.5299
4218, LnNcpv0 / LnPav1 vs. LnCac0, Alpha, 88, -0.0060, 0.5810, 0.2390, 2.7206, 193.4339, 1.5547, 18.7507, -0.4889
4219, DCac / Ncpv1 vs. Tps1, Omega, 100, 12.2454, 0.5810, 0.2383, 1.5983, 0.0467, 2.1700, 0.0122, 0.4882
4220, Cac1 / Ncpv1 vs. Pav0, BetaUZeta, 52, 0.0270, 0.5810, 0.2430, 0.0383, 0.6290, 0.0553, 0.1018, 0.4929
4221, LnTcpv0 / LnPav0 vs. DNcpv, Eta, 17, -0.8608, 0.5811, 0.2650, 119.7209, 61.8170, 66.5059, 6.6342, -0.5147
4222, Cac0 / Pav0 vs. DCac, Beta, 40, 0.0150, 0.5812, 0.2458, -0.2647, 1373.8579, 20.3500, 190.4341, 0.4957
4223, LnPav0 / LnPav1 vs. LnTcpv1, Alpha, 88, 3.4965, 0.5812, 0.2388, -0.5626, 0.6022, 1.5431, 0.0260, 0.4887
4224, DPav / Tps1 vs. DCac, Theta, 23, -362.5145, 0.5813, 0.2557, 5.4880, 0.0052, 3.6087, 0.0009, -0.5057
4225, Tps1 / Tcpv1 vs. Cac0, Eta, 17, -986.6788, 0.5814, 0.2646, 281.3007, 0.1024, 180.2941, 0.0181, -0.5144
4226, Cac0 / Pav1 vs. DCac, Beta, 40, 0.0187, 0.5815, 0.2454, 0.7460, 1046.9095, 20.3500, 152.4986, 0.4954
4227, LnTps0 / LnPav1 vs. LnDNcpv, Theta, 23, -0.0214, 0.5816, 0.2555, 3.8358, 21.1044, 3.3850, 4.2316, -0.5054
4228, LnNcpv0 / LnPav1 vs. DTcpv, Beta, 40, -0.0775, 0.5816, 0.2454, 16.0228, 94.7242, 8.6800, 9.9211, -0.4954
4229, LnTps0 / LnNcpv0 vs. LnTcpv1, Zeta, 12, 6.3806, 0.5816, 0.2801, 0.7209, 0.2252, 2.1580, 0.0502, 0.5293
4230, LnDNcpv / LnPav1 vs. LnDPav, Beta, 40, -0.0001, 0.5817, 0.2453, 0.0270, 74.3408, 0.0183, 8.5336, -0.4953
4231, LnDPav / LnTps1 vs. LnNcpv1, Omega, 100, 64.0448, 0.5818, 0.2376, 3.6783, 0.0065, 4.0970, 0.0009, 0.4874
4232, LnCac0 / LnPav1 vs. LnTps1, Omega, 100, 0.0092, 0.5819, 0.2375, 0.5081, 29.4450, 0.7777, 4.4961, 0.4873
4233, LnDTps vs. LnDNcpv, Theta, 23, 0.8133, 0.5819, 0.2552, 2.8397, 0.6704, 3.3850, 0.1111, 0.5051
4234, LnDNcpv vs. LnDTps, Theta, 23, 0.3138, 0.5819, 0.2552, -0.3916, 3.3850, 0.6704, 0.1789, 0.5051
4235, LnCac1 / LnTcpv1 vs. DTps, Alpha, 88, 0.6163, 0.5819, 0.2381, 0.2195, 0.6211, 0.6023, 0.0906, 0.4880
4236, LnDNcpv / LnNcpv1 vs. LnDPav, Beta, 40, 0.0488, 0.5819, 0.2450, -0.0170, 0.7222, 0.0183, 0.0206, 0.4950
4237, LnDNcpv / LnPav0 vs. LnCac1, Zeta, 12, -0.0104, 0.5820, 0.2797, 3.7194, 119.5356, 2.4788, 40.8532, -0.5289
4238, Pav0 vs. DTcpv, Theta, 23, 121.6811, 0.5820, 0.2550, -0.4179, 0.0375, 4.1478, 0.0055, 0.5050
4239, Cac1 / Tcpv0 vs. LnDTcpv, Omega, 100, 0.2359, 0.5820, 0.2373, 0.5827, 1.4156, 0.9166, 0.2226, 0.4872
4240, LnTps0 / LnTps1 vs. LnPav0, BetaUZeta, 52, 0.0490, 0.5820, 0.2420, 0.0188, 0.7017, 0.0532, 0.0524, 0.4919
4241, Cac0 / Tcpv1 vs. DNcpv, Alpha, 88, 13.1965, 0.5821, 0.2379, 21.7319, 0.8244, 32.6114, 0.1294, 0.4878
4242, Cac1 / Ncpv1 vs. DCac, Eta, 17, 36.7282, 0.5821, 0.2639, 6.5474, 0.9925, 43.0000, 0.1639, 0.5137
4243, LnTcpv1 / LnPav0 vs. LnDPav, Eta, 17, -0.0002, 0.5822, 0.2639, 0.0372, 66.8466, 0.0228, 7.6578, -0.5137
4244, LnPav0 / LnPav1 vs. LnTcpv1, Omega, 100, 3.4497, 0.5822, 0.2372, -0.5352, 0.6239, 1.6169, 0.0251, 0.4870
4245, Tps0 / Tps1 vs. Cac0, BetaUZeta, 52, 159.5261, 0.5823, 0.2417, -5.4073, 0.6400, 96.6923, 0.0532, 0.4917
4246, LnCac0 / LnPav0 vs. LnTps1, Alpha, 88, 0.0071, 0.5823, 0.2378, 0.5065, 35.4257, 0.7571, 6.2740, 0.4876
4247, LnCac1 / LnPav0 vs. DNcpv, Eta, 17, -0.5572, 0.5824, 0.2636, 113.0656, 83.5554, 66.5059, 10.2229, -0.5134
4248, LnDNcpv / LnCac1 vs. LnDTps, Alpha, 88, 0.2027, 0.5824, 0.2376, 0.1995, 0.6466, 0.3305, 0.1253, 0.4875
4249, DTcpv / Tps1 vs. Pav1, Gamma, 48, 0.0829, 0.5824, 0.2424, 0.0124, 0.0146, 0.0136, 0.0108, 0.4923
4250, LnDPav / LnCac1 vs. DNcpv, Theta, 23, 872.5801, 0.5825, 0.2546, 29.9239, 0.0094, 38.0826, 0.0033, 0.5045
4251, Tcpv1 / Pav1 vs. DNcpv, Zeta, 12, 0.0238, 0.5825, 0.2792, 13.5543, 409.5051, 23.3083, 137.9136, 0.5284
4252, LnDTcpv / LnTps1 vs. LnTcpv1, Beta, 40, 1.1798, 0.5826, 0.2444, 1.7891, 1.1024, 3.0897, 0.0948, 0.4944
4253, LnTps0 / LnPav1 vs. LnNcpv1, Zeta, 12, -0.0239, 0.5826, 0.2790, 5.0424, 20.1510, 4.5606, 4.5656, -0.5282
4254, LnCac0 / LnCac1 vs. LnDNcpv, Eta, 17, 9.2092, 0.5826, 0.2634, -4.7600, 0.9421, 3.9158, 0.0126, 0.5132
4255, LnNcpv0 / LnPav0 vs. LnDNcpv, Beta, 40, -0.0038, 0.5827, 0.2443, 4.1434, 141.4071, 3.6106, 18.8041, -0.4943
4256, DCac / Cac0 vs. Tps0, Zeta, 12, 3.3192, 0.5828, 0.2789, 3.3647, -0.2605, 2.5000, 0.1395, 0.5281
4257, DCac / Ncpv1 vs. Cac1, BetaUZeta, 52, 463.6190, 0.5828, 0.2412, 71.4337, 0.0898, 113.0577, 0.0219, 0.4911
4258, DTps / DTcpv vs. LnDPav, Gamma, 48, 0.0018, 0.5828, 0.2420, 0.0058, 0.4167, 0.0066, 0.2946, 0.4920
4259, LnDTps / LnDTcpv vs. LnDPav, Gamma, 48, 0.0025, 0.5828, 0.2420, 0.0058, 0.3030, 0.0066, 0.2142, 0.4920
4260, Pav0 / Pav1 vs. LnDCac, Alpha, 88, 2.8566, 0.5828, 0.2372, -0.6907, 0.5987, 1.0196, 0.0259, 0.4871
4261, Cac0 / Cac1 vs. LnDNcpv, Alpha, 88, 1.3796, 0.5829, 0.2372, 2.5912, 0.2993, 3.0042, 0.0423, 0.4871
4262, LnTps0 / LnTps1 vs. DNcpv, Alpha, 88, 35.7854, 0.5829, 0.2372, 19.4475, 0.3679, 32.6114, 0.0476, 0.4870
4263, LnDCac / LnTcpv1 vs. DTps, Alpha, 88, 0.8055, 0.5829, 0.2372, 0.2820, 0.3976, 0.6023, 0.0692, 0.4870
4264, Cac1 / Pav0 vs. Tps1, BetaUZeta, 52, 0.0012, 0.5830, 0.2411, 2.2378, 1564.5992, 4.0385, 192.5654, 0.4910
4265, DPav / Cac0 vs. Pav0, Eta, 17, -142.4531, 0.5830, 0.2630, 0.1122, 0.0002, 0.0828, 0.0000, -0.5128
4266, LnDNcpv / LnPav1 vs. DPav, Beta, 40, -0.0001, 0.5830, 0.2440, 0.0275, 74.3408, 0.0185, 8.5336, -0.4940
4267, DTcpv / Ncpv1 vs. Tcpv1, Gamma, 48, 15.9796, 0.5831, 0.2418, 0.2600, 0.0128, 0.4646, 0.0046, 0.4917
4268, Tcpv1 / Pav1 vs. DCac, Beta, 40, 0.0459, 0.5831, 0.2439, -3.1500, 511.7531, 20.3500, 61.9941, 0.4939
4269, DCac / DTcpv vs. Tps1, Zeta, 12, 0.1613, 0.5831, 0.2785, 2.3761, -0.2652, 2.3333, 2.5011, 0.5278
4270, LnTps0 / LnTcpv1 vs. LnNcpv0, Omega, 100, 1.7459, 0.5832, 0.2362, 3.1665, 0.2316, 3.5708, 0.0405, 0.4860
4271, LnDNcpv / LnPav1 vs. LnDPav, Omega, 100, -0.0000, 0.5833, 0.2362, 0.0174, 176.4308, 0.0121, 18.4910, -0.4860
4272, Cac0 vs. DNcpv, Eta, 17, 0.1639, 0.5833, 0.2627, 36.9489, 180.2941, 66.5059, 34.6864, 0.5125
4273, Tcpv0 / Pav1 vs. DCac, BetaUZeta, 52, 0.0456, 0.5834, 0.2407, -1.3146, 387.7713, 16.3654, 50.6274, 0.4906
4274, LnDPav / LnTcpv1 vs. LnNcpv1, Eta, 17, 132.6085, 0.5834, 0.2626, 4.6086, 0.0054, 5.3220, 0.0007, 0.5124
4275, LnNcpv0 / LnPav1 vs. DNcpv, Gamma, 48, -0.0445, 0.5834, 0.2414, 30.2608, 275.6921, 17.9854, 28.5213, -0.4913
4276, LnTps0 / LnNcpv1 vs. LnDNcpv, Alpha, 88, 3.6990, 0.5835, 0.2366, 2.5797, 0.1147, 3.0042, 0.0158, 0.4865
4277, DTps / DCac vs. LnDTps, BetaUZeta, 52, 0.3809, 0.5835, 0.2406, 0.5265, 0.2611, 0.6260, 0.0881, 0.4905
4278, LnNcpv1 / LnPav0 vs. LnCac1, Alpha, 88, -0.0017, 0.5836, 0.2365, 2.5784, 520.0917, 1.7167, 69.6552, -0.4863
4279, LnDNcpv / LnNcpv1 vs. DPav, Beta, 40, 0.0498, 0.5836, 0.2434, -0.0174, 0.7222, 0.0185, 0.0206, 0.4934
4280, LnTps1 / LnNcpv0 vs. LnDNcpv, BetaUZeta, 52, 3.5185, 0.5836, 0.2404, 2.3956, 0.2985, 3.4457, 0.0184, 0.4903
4281, Ncpv1 / Pav1 vs. Ncpv0, Eta, 17, 0.0901, 0.5836, 0.2623, -24.2746, 2305.5135, 183.3412, 166.9485, 0.5122
4282, LnTps1 / LnNcpv0 vs. LnCac0, Theta, 23, 8.8239, 0.5837, 0.2534, -0.1897, 0.2876, 2.3480, 0.0222, 0.5033
4283, Tps1 / Pav0 vs. DTcpv, Zeta, 12, 0.0676, 0.5838, 0.2777, 0.4675, 42.4152, 3.3333, 11.3477, 0.5270
4284, DPav / Tps1 vs. LnDPav, Beta, 40, 1.8012, 0.5838, 0.2432, 0.0097, 0.0048, 0.0183, 0.0006, 0.4931
4285, LnDPav / LnCac0 vs. LnPav0, Theta, 23, 3.2670, 0.5839, 0.2531, 0.0253, 0.0034, 0.0365, 0.0008, 0.5031
4286, LnTps1 / LnCac1 vs. LnDTcpv, Zeta, 12, 3.2185, 0.5839, 0.2776, 0.4815, 0.1563, 0.9847, 0.0506, 0.5269
4287, LnCac0 / LnCac1 vs. LnDTcpv, Zeta, 12, 1.0195, 0.5840, 0.2775, 0.4681, 0.5067, 0.9847, 0.1599, 0.5268
4288, LnDCac / LnDNcpv vs. LnCac1, Beta, 40, 2.1944, 0.5840, 0.2430, 2.3398, 0.6548, 3.7768, 0.0618, 0.4930
4289, LnDNcpv / LnDPav vs. LnNcpv0, Alpha, 88, -0.0021, 0.5840, 0.2361, 4.3912, 433.4060, 3.4708, 36.5869, -0.4859
4290, DTcpv / Cac1 vs. Cac0, Eta, 17, -1301.0480, 0.5841, 0.2619, 291.6774, 0.0856, 180.2941, 0.0136, -0.5118
4291, LnDNcpv / LnCac1 vs. DCac, Theta, 23, -0.8884, 0.5841, 0.2530, 5.3056, 1.9102, 3.6087, 0.3561, -0.5030
4292, LnDTps / LnTps0 vs. LnNcpv1, Theta, 23, 0.6717, 0.5841, 0.2529, 4.4062, 0.4673, 4.7201, 0.1263, 0.5029
4293, LnDPav / LnPav1 vs. LnCac0, BetaUZeta, 52, -6.4029, 0.5841, 0.2399, 5.0810, 0.2814, 3.2791, 0.0220, -0.4898
4294, LnCac0 / LnCac1 vs. LnPav0, BetaUZeta, 52, 0.0450, 0.5842, 0.2399, 0.0209, 0.7173, 0.0532, 0.0569, 0.4898
4295, LnTps0 / LnCac1 vs. LnDTcpv, Zeta, 12, 3.2089, 0.5842, 0.2773, 0.5173, 0.1457, 0.9847, 0.0508, 0.5266
4296, Tcpv1 / Pav1 vs. Tps0, Theta, 23, 0.0037, 0.5842, 0.2528, 0.8233, 325.8871, 2.0435, 60.7167, 0.5028
4297, LnDCac / LnCac1 vs. DTps, Alpha, 88, 1.4232, 0.5843, 0.2359, 0.1872, 0.2917, 0.6023, 0.0390, 0.4857
4298, LnTps0 / LnTps1 vs. LnTcpv0, Theta, 23, 1.7848, 0.5843, 0.2527, 0.7547, 0.6453, 1.9064, 0.0813, 0.5027
4299, LnCac1 / LnNcpv0 vs. LnDPav, Alpha, 88, 0.0125, 0.5844, 0.2358, 0.0074, 0.3644, 0.0119, 0.0488, 0.4856
4300, Ncpv0 / Pav1 vs. DTcpv, Zeta, 12, -0.0038, 0.5844, 0.2771, 9.5898, 1627.3035, 3.3333, 199.1988, -0.5264
4301, LnTcpv0 / LnPav0 vs. DPav, Eta, 17, -0.0003, 0.5844, 0.2615, 0.0388, 61.8170, 0.0231, 6.6342, -0.5114
4302, Cac0 / Tcpv1 vs. Pav0, Omega, 100, 0.0090, 0.5844, 0.2350, 0.0226, 1.0538, 0.0321, 0.2038, 0.4848
4303, LnDPav / LnTcpv1 vs. LnDTps, Theta, 23, 16.4540, 0.5845, 0.2525, 0.4865, 0.0112, 0.6704, 0.0034, 0.5025
4304, DNcpv / Pav1 vs. LnDNcpv, Gamma, 48, 0.0007, 0.5845, 0.2404, 1.5251, 1345.5154, 2.4988, 102.4717, 0.4903
4305, LnCac1 / LnPav1 vs. LnPav0, Zeta, 12, 0.0005, 0.5846, 0.2769, 0.0322, 35.5115, 0.0488, 11.7634, 0.5262
4306, LnTps0 / LnNcpv0 vs. LnPav1, Theta, 23, 0.1180, 0.5846, 0.2524, 0.0276, 0.1968, 0.0509, 0.0282, 0.5024
4307, LnDTcpv / LnDPav vs. LnNcpv1, Theta, 23, -0.0021, 0.5846, 0.2524, 4.9967, 131.1687, 4.7201, 40.1902, -0.5024
4308, LnTps1 / LnPav1 vs. LnTcpv0, Zeta, 12, 0.0886, 0.5847, 0.2768, 0.6371, 15.2264, 1.9864, 3.6007, 0.5261
4309, LnTcpv0 / LnPav0 vs. DTcpv, Zeta, 12, 0.0679, 0.5847, 0.2768, 0.7246, 38.4289, 3.3333, 11.2748, 0.5261
4310, Tcpv0 / Pav1 vs. Tps0, Theta, 23, 0.0041, 0.5847, 0.2523, 1.0517, 242.8313, 2.0435, 55.6097, 0.5023
4311, LnDTps / LnTps0 vs. LnNcpv1, Alpha, 88, 1.5583, 0.5848, 0.2354, 3.7360, 0.1911, 4.0338, 0.0423, 0.4852
4312, LnDNcpv / LnTcpv0 vs. LnCac0, Beta, 40, -0.4838, 0.5849, 0.2422, 4.2050, 1.6219, 3.4204, 0.3186, -0.4921
4313, Tps0 vs. DPav, Omega, 100, 0.0022, 0.5849, 0.2346, 0.0080, 1.6600, 0.0117, 0.2623, 0.4843
4314, LnTcpv0 / LnPav1 vs. LnDCac, Omega, 100, 0.0211, 0.5849, 0.2346, 0.5143, 26.5706, 1.0754, 3.2642, 0.4843
4315, LnCac0 / LnNcpv0 vs. LnPav1, Zeta, 12, 0.0353, 0.5849, 0.2765, 0.0352, 0.6363, 0.0576, 0.1566, 0.5259
4316, DPav / Tps0 vs. Pav0, Zeta, 12, -3.4081, 0.5850, 0.2765, 0.0645, 0.0041, 0.0506, 0.0017, -0.5258
4317, DCac / Cac0 vs. Cac1, Zeta, 12, 153.8912, 0.5850, 0.2764, 134.5082, -0.2605, 94.4167, 0.1395, 0.5258
4318, LnTps1 / LnCac0 vs. LnDTps, Eta, 17, 3.0247, 0.5850, 0.2609, -0.5810, 0.3904, 0.5999, 0.0243, 0.5108
4319, DTcpv / Tps1 vs. Ncpv1, Alpha, 88, 39.6926, 0.5850, 0.2351, 73.3482, 0.8275, 106.1943, 0.1535, 0.4849
4320, Tps1 / Cac1 vs. Tcpv1, Eta, 17, -848.0077, 0.5851, 0.2608, 116.0873, 0.0400, 82.1588, 0.0084, -0.5107
4321, LnDTcpv / LnPav0 vs. LnDNcpv, Eta, 17, -0.0213, 0.5851, 0.2608, 4.7956, 41.3952, 3.9158, 5.4166, -0.5107
4322, LnNcpv1 / LnTcpv0 vs. LnNcpv0, Theta, 23, -0.1578, 0.5853, 0.2517, 4.7522, 2.7495, 4.3184, 0.6324, -0.5017
4323, LnDCac / LnTps0 vs. LnNcpv0, Eta, 17, -0.5926, 0.5854, 0.2605, 6.2772, 2.1543, 5.0004, 0.1528, -0.5104
4324, LnTcpv0 vs. LnDNcpv, Beta, 40, 0.2872, 0.5854, 0.2416, 2.8156, 2.7684, 3.6106, 0.2453, 0.4916
4325, LnTcpv0 / LnTcpv1 vs. LnPav1, Eta, 17, 0.5070, 0.5854, 0.2605, -0.3752, 0.9364, 0.0996, 0.0120, 0.5103
4326, LnCac0 / LnPav0 vs. LnTps0, Omega, 100, 0.0064, 0.5856, 0.2340, 0.3834, 38.7320, 0.6315, 5.9155, 0.4837
4327, Tps0 / Tps1 vs. Cac1, BetaUZeta, 52, 190.2674, 0.5856, 0.2385, -8.7169, 0.6400, 113.0577, 0.0532, 0.4884
4328, LnDTcpv / LnCac0 vs. LnTcpv1, Beta, 40, 2.7148, 0.5857, 0.2414, 1.9966, 0.4027, 3.0897, 0.0409, 0.4913
4329, LnNcpv1 / LnPav0 vs. LnDNcpv, Eta, 17, -0.0100, 0.5857, 0.2602, 4.7910, 87.8173, 3.9158, 11.5367, -0.5101
